,Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type
1271,Icelandair,Á áætlun,2021-07-24,2021-08-18,New York Newark,FI623,17:00,Departure
1272,Icelandair,Á áætlun,2021-07-24,2021-08-18,Toronto,FI603,17:05,Departure
1273,Icelandair,Á áætlun,2021-07-24,2021-08-18,Seattle,FI681,17:05,Departure
1274,Vueling,Á áætlun,2021-07-24,2021-08-18,Barcelona,VY8561,17:10,Departure
1275,Icelandair,Á áætlun,2021-07-24,2021-08-18,Boston,FI631,17:15,Departure
1276,Icelandair,Á áætlun,2021-07-24,2021-08-18,Kangerlussuaq,FI1531,18:00,Departure
1277,Wizz Air,Á áætlun,2021-07-24,2021-08-18,Rome Fiumicino,W68266,19:20,Departure
1278,Transavia,Á áætlun,2021-07-24,2021-08-18,Amsterdam,HV6886,19:50,Departure
1279,Wizz Air,Á áætlun,2021-07-24,2021-08-18,Katowice,W61168,20:30,Departure
1280,Wizz Air,Á áætlun,2021-07-24,2021-08-19,Varsjá,W61540,00:05,Departure
1281,Lufthansa,Á áætlun,2021-07-24,2021-08-19,Frankfurt,LH869,00:25,Departure
1282,Czech Airlines,Á áætlun,2021-07-24,2021-08-19,Prag,OK461,02:00,Departure
1283,Play,Á áætlun,2021-07-24,2021-08-19,París CDG,OG400,06:00,Departure
1284,Play,Á áætlun,2021-07-24,2021-08-19,Kaupmannahöfn,OG900,06:30,Departure
1285,Play,Á áætlun,2021-07-24,2021-08-19,London Stansted,OG800,06:30,Departure
1286,Icelandair,Á áætlun,2021-07-24,2021-08-19,Munchen,FI532,07:20,Departure
1287,Icelandair,Á áætlun,2021-07-24,2021-08-19,Zurich,FI568,07:20,Departure
1288,Icelandair,Á áætlun,2021-07-24,2021-08-19,Frankfurt,FI520,07:25,Departure
1289,Icelandair,Á áætlun,2021-07-24,2021-08-19,Helsinki,FI342,07:30,Departure
1290,Icelandair,Á áætlun,2021-07-24,2021-08-19,Stokkhólmur,FI306,07:35,Departure
1291,Icelandair,Á áætlun,2021-07-24,2021-08-19,London Heathrow,FI450,07:40,Departure
1292,Icelandair,Á áætlun,2021-07-24,2021-08-19,París CDG,FI542,07:40,Departure
1293,Icelandair,Á áætlun,2021-07-24,2021-08-19,Brussel,FI554,07:40,Departure
1294,Icelandair,Á áætlun,2021-07-24,2021-08-19,Amsterdam,FI500,07:40,Departure
1295,Icelandair,Á áætlun,2021-07-24,2021-08-19,Berlin Brandenburg,FI528,07:40,Departure
1296,Icelandair,Á áætlun,2021-07-24,2021-08-19,Kaupmannahöfn,FI204,07:45,Departure
1297,Icelandair,Á áætlun,2021-07-24,2021-08-19,París CDG,FI544,07:45,Departure
1298,Icelandair,Á áætlun,2021-07-24,2021-08-19,Amsterdam,FI506,07:50,Departure
1299,Icelandair,Á áætlun,2021-07-24,2021-08-19,Osló,FI318,07:50,Departure
1300,Icelandair,Á áætlun,2021-07-24,2021-08-19,Kaupmannahöfn,FI206,08:00,Departure
1301,Neos,Á áætlun,2021-07-24,2021-08-19,Alicante,NO4902,08:20,Departure
1302,Norwegian,Á áætlun,2021-07-24,2021-08-19,Osló,DY1171,08:35,Departure
1303,Icelandair,Á áætlun,2021-07-24,2021-08-19,Alicante,FI1582,08:50,Departure
1304,EasyJet,Á áætlun,2021-07-24,2021-08-19,Manchester,EZY1806,09:00,Departure
1305,Icelandair,Á áætlun,2021-07-24,2021-08-19,Boston,FI635,09:20,Departure
1306,Delta,Á áætlun,2021-07-24,2021-08-19,Minneapolis St Paul,DL261,09:30,Departure
1307,Delta,Á áætlun,2021-07-24,2021-08-19,Boston,DL267,10:05,Departure
1308,Wizz Air,Á áætlun,2021-07-24,2021-08-19,Vín,W62858,10:25,Departure
1309,United Airlines,Á áætlun,2021-07-24,2021-08-19,Chicago,UA913,10:30,Departure
1310,SAS,Á áætlun,2021-07-24,2021-08-19,Kaupmannahöfn,SK596,10:30,Departure
1311,British Airways,Á áætlun,2021-07-24,2021-08-19,London Heathrow,BA801,10:40,Departure
1312,Delta,Á áætlun,2021-07-24,2021-08-19,New York JFK,DL247,11:15,Departure
1313,United Airlines,Á áætlun,2021-07-24,2021-08-19,New York Newark,UA967,11:20,Departure
1314,SAS,Á áætlun,2021-07-24,2021-08-19,Osló,SK4788,11:40,Departure
1315,Lufthansa,Á áætlun,2021-07-24,2021-08-19,Frankfurt,LH857,13:35,Departure
1316,Icelandair,Á áætlun,2021-07-24,2021-08-19,Madríd,FI594,14:00,Departure
1317,Eurowings,Á áætlun,2021-07-24,2021-08-19,Hamborg,EW7809,14:20,Departure
1318,EasyJet,Á áætlun,2021-07-24,2021-08-19,Edinborg,EZY6942,15:05,Departure
1319,Play,Á áætlun,2021-07-24,2021-08-19,Berlin Brandenburg,OG704,15:15,Departure
1320,Icelandair,Á áætlun,2021-07-24,2021-08-19,Kaupmannahöfn,FI216,16:10,Departure
1321,Icelandair,Á áætlun,2021-07-24,2021-08-19,Minneapolis St Paul,FI657,16:45,Departure
1322,Icelandair,Á áætlun,2021-07-24,2021-08-19,Chicago,FI853,16:45,Departure
1323,Icelandair,Á áætlun,2021-07-24,2021-08-19,Portland,FI665,16:50,Departure
1324,Icelandair,Á áætlun,2021-07-24,2021-08-19,Washington Dulles,FI645,16:50,Departure
1325,Icelandair,Á áætlun,2021-07-24,2021-08-19,Denver,FI671,16:55,Departure
1326,Icelandair,Á áætlun,2021-07-24,2021-08-19,New York JFK,FI615,17:00,Departure
1327,Icelandair,Á áætlun,2021-07-24,2021-08-19,New York Newark,FI623,17:00,Departure
1328,Icelandair,Á áætlun,2021-07-24,2021-08-19,Toronto,FI603,17:05,Departure
1329,Icelandair,Á áætlun,2021-07-24,2021-08-19,Seattle,FI681,17:05,Departure
1330,Vueling,Á áætlun,2021-07-24,2021-08-19,Barcelona,VY8561,17:10,Departure
1331,Icelandair,Á áætlun,2021-07-24,2021-08-19,Boston,FI631,17:15,Departure
1332,Icelandair,Á áætlun,2021-07-24,2021-08-19,Seattle,FI683,17:50,Departure
1333,Wizz Air,Á áætlun,2021-07-24,2021-08-19,Riga,W62598,18:50,Departure
1334,Wizz Air,Á áætlun,2021-07-24,2021-08-19,Mílanó,W65566,19:20,Departure
1335,Wizz Air,Á áætlun,2021-07-24,2021-08-19,Gdansk,W61774,20:00,Departure
1336,Wizz Air,Á áætlun,2021-07-24,2021-08-19,London Luton,W94498,21:55,Departure
1337,Wizz Air,Á áætlun,2021-07-24,2021-08-20,Varsjá,W61540,00:05,Departure
1338,Eurowings,Á áætlun,2021-07-24,2021-08-20,Dusseldorf,EW9281,00:30,Departure
1339,Lufthansa,Á áætlun,2021-07-24,2021-08-20,Munchen,LH2469,01:05,Departure
1340,Iberia Express,Á áætlun,2021-07-24,2021-08-20,Madríd,I23661,01:35,Departure
1341,Play,Á áætlun,2021-07-24,2021-08-20,Berlin Brandenburg,OG700,06:00,Departure
1342,Play,Á áætlun,2021-07-24,2021-08-20,París CDG,OG400,06:00,Departure
1343,Play,Á áætlun,2021-07-24,2021-08-20,London Stansted,OG800,06:30,Departure
1344,Icelandair,Á áætlun,2021-07-24,2021-08-20,Munchen,FI532,07:20,Departure
1345,Icelandair,Á áætlun,2021-07-24,2021-08-20,Zurich,FI568,07:20,Departure
1346,Icelandair,Á áætlun,2021-07-24,2021-08-20,Frankfurt,FI520,07:25,Departure
1347,Icelandair,Á áætlun,2021-07-24,2021-08-20,Helsinki,FI342,07:30,Departure
1348,Icelandair,Á áætlun,2021-07-24,2021-08-20,Stokkhólmur,FI306,07:35,Departure
1349,Icelandair,Á áætlun,2021-07-24,2021-08-20,London Heathrow,FI450,07:40,Departure
1350,Icelandair,Á áætlun,2021-07-24,2021-08-20,Amsterdam,FI500,07:40,Departure
1351,Icelandair,Á áætlun,2021-07-24,2021-08-20,París CDG,FI542,07:40,Departure
1352,Icelandair,Á áætlun,2021-07-24,2021-08-20,Berlin Brandenburg,FI528,07:40,Departure
1353,Icelandair,Á áætlun,2021-07-24,2021-08-20,Kaupmannahöfn,FI204,07:45,Departure
1354,Icelandair,Á áætlun,2021-07-24,2021-08-20,Osló,FI318,07:50,Departure
1355,Icelandair,Á áætlun,2021-07-24,2021-08-20,Amsterdam,FI506,07:50,Departure
1356,Icelandair,Á áætlun,2021-07-24,2021-08-20,Manchester,FI440,08:00,Departure
1357,Icelandair,Á áætlun,2021-07-24,2021-08-20,Kaupmannahöfn,FI206,08:00,Departure
1358,Neos,Á áætlun,2021-07-24,2021-08-20,Tenerife South,NO5924,08:20,Departure
1359,Icelandair,Á áætlun,2021-07-24,2021-08-20,Chania,FI1586,09:00,Departure
1360,EasyJet,Á áætlun,2021-07-24,2021-08-20,London Luton,EZY2296,09:15,Departure
1361,Icelandair,Á áætlun,2021-07-24,2021-08-20,Boston,FI635,09:20,Departure
1362,Delta,Á áætlun,2021-07-24,2021-08-20,Minneapolis St Paul,DL261,09:30,Departure
1363,Delta,Á áætlun,2021-07-24,2021-08-20,Boston,DL267,10:05,Departure
1364,United Airlines,Á áætlun,2021-07-24,2021-08-20,Chicago,UA913,10:30,Departure
1365,SAS,Á áætlun,2021-07-24,2021-08-20,Kaupmannahöfn,SK596,10:30,Departure
1366,Delta,Á áætlun,2021-07-24,2021-08-20,New York JFK,DL247,11:15,Departure
1367,United Airlines,Á áætlun,2021-07-24,2021-08-20,New York Newark,UA967,11:20,Departure
1368,SAS,Á áætlun,2021-07-24,2021-08-20,Osló,SK4788,11:40,Departure
1369,Atlantic Airways,Á áætlun,2021-07-24,2021-08-20,Vagar,RC402,12:00,Departure
1370,Icelandair,Á áætlun,2021-07-24,2021-08-20,Mílanó,FI592,14:00,Departure
1371,Air Baltic,Á áætlun,2021-07-24,2021-08-20,Riga,BT170,15:10,Departure
1372,Play,Á áætlun,2021-07-24,2021-08-20,Kaupmannahöfn,OG904,15:15,Departure
1373,Play,Á áætlun,2021-07-24,2021-08-20,Barcelona,OG614,15:15,Departure
1374,Icelandair,Á áætlun,2021-07-24,2021-08-20,Frankfurt,FI524,15:55,Departure
1375,Icelandair,Á áætlun,2021-07-24,2021-08-20,París CDG,FI540,16:00,Departure
1376,Icelandair,Á áætlun,2021-07-24,2021-08-20,Kaupmannahöfn,FI216,16:10,Departure
1377,Icelandair,Á áætlun,2021-07-24,2021-08-20,Billund,FI274,16:40,Departure
1378,Icelandair,Á áætlun,2021-07-24,2021-08-20,Minneapolis St Paul,FI657,16:45,Departure
1379,Icelandair,Á áætlun,2021-07-24,2021-08-20,Chicago,FI853,16:45,Departure
1380,Icelandair,Á áætlun,2021-07-24,2021-08-20,Washington Dulles,FI645,16:50,Departure
1381,Icelandair,Á áætlun,2021-07-24,2021-08-20,Denver,FI671,16:55,Departure
1382,Icelandair,Á áætlun,2021-07-24,2021-08-20,New York JFK,FI615,17:00,Departure
1383,Icelandair,Á áætlun,2021-07-24,2021-08-20,New York Newark,FI623,17:00,Departure
1384,Icelandair,Á áætlun,2021-07-24,2021-08-20,Seattle,FI681,17:05,Departure
1385,Icelandair,Á áætlun,2021-07-24,2021-08-20,Orlando,FI689,17:15,Departure
1386,Icelandair,Á áætlun,2021-07-24,2021-08-20,Boston,FI631,17:15,Departure
1387,Transavia,Á áætlun,2021-07-24,2021-08-20,Amsterdam,HV6886,18:50,Departure
1388,Wizz Air,Á áætlun,2021-07-24,2021-08-20,Wroclaw,W61898,18:50,Departure
1389,Wizz Air,Á áætlun,2021-07-24,2021-08-20,Rome Fiumicino,W68266,19:20,Departure
1390,Wizz Air,Á áætlun,2021-07-24,2021-08-20,Katowice,W61168,20:45,Departure
1391,Lufthansa,Á áætlun,2021-07-24,2021-08-21,Frankfurt,LH869,00:25,Departure
1392,Icelandair,Á áætlun,2021-07-24,2021-08-21,Genf,FI564,07:20,Departure
1393,Icelandair,Á áætlun,2021-07-24,2021-08-21,Munchen,FI532,07:20,Departure
1394,Icelandair,Á áætlun,2021-07-24,2021-08-21,Zurich,FI568,07:20,Departure
1395,Icelandair,Á áætlun,2021-07-24,2021-08-21,Frankfurt,FI520,07:25,Departure
1396,Icelandair,Á áætlun,2021-07-24,2021-08-21,Helsinki,FI342,07:30,Departure
1397,Icelandair,Á áætlun,2021-07-24,2021-08-21,Stokkhólmur,FI306,07:35,Departure
1398,Icelandair,Á áætlun,2021-07-24,2021-08-21,Amsterdam,FI500,07:40,Departure
1399,Icelandair,Á áætlun,2021-07-24,2021-08-21,Berlin Brandenburg,FI528,07:40,Departure
1400,Icelandair,Á áætlun,2021-07-24,2021-08-21,París CDG,FI542,07:40,Departure
1401,Icelandair,Á áætlun,2021-07-24,2021-08-21,London Heathrow,FI450,07:40,Departure
1402,Icelandair,Á áætlun,2021-07-24,2021-08-21,Brussel,FI554,07:40,Departure
1403,Icelandair,Á áætlun,2021-07-24,2021-08-21,Kaupmannahöfn,FI204,07:45,Departure
1404,Icelandair,Á áætlun,2021-07-24,2021-08-21,París CDG,FI544,07:45,Departure
1405,Icelandair,Á áætlun,2021-07-24,2021-08-21,Amsterdam,FI506,07:50,Departure
1406,Icelandair,Á áætlun,2021-07-24,2021-08-21,Kaupmannahöfn,FI206,08:00,Departure
1407,Neos,Á áætlun,2021-07-24,2021-08-21,Verona,NO6956,08:20,Departure
1408,Icelandair,Á áætlun,2021-07-24,2021-08-21,Tenerife South,FI580,08:40,Departure
1409,Icelandair,Á áætlun,2021-07-24,2021-08-21,Boston,FI635,09:20,Departure
1410,Delta,Á áætlun,2021-07-24,2021-08-21,Minneapolis St Paul,DL261,09:30,Departure
1411,Delta,Á áætlun,2021-07-24,2021-08-21,Boston,DL267,10:05,Departure
1412,British Airways,Á áætlun,2021-07-24,2021-08-21,London Heathrow,BA801,10:10,Departure
1413,Play,Á áætlun,2021-07-24,2021-08-21,Tenerife South,OG620,10:10,Departure
1414,United Airlines,Á áætlun,2021-07-24,2021-08-21,Chicago,UA913,10:30,Departure
1415,Delta,Á áætlun,2021-07-24,2021-08-21,New York JFK,DL247,11:15,Departure
1416,United Airlines,Á áætlun,2021-07-24,2021-08-21,New York Newark,UA967,11:20,Departure
1417,Lufthansa,Á áætlun,2021-07-24,2021-08-21,Frankfurt,LH857,13:35,Departure
1418,Icelandair,Á áætlun,2021-07-24,2021-08-21,Barcelona,FI596,14:00,Departure
1419,Icelandair,Á áætlun,2021-07-24,2021-08-21,Mílanó,FI592,14:00,Departure
1420,Icelandair,Á áætlun,2021-07-24,2021-08-21,Madríd,FI594,14:00,Departure
1421,Play,Á áætlun,2021-07-24,2021-08-21,Alicante,OG604,15:15,Departure
1422,Wizz Air,Á áætlun,2021-07-24,2021-08-21,Dortmund,W64714,15:50,Departure
1423,Wizz Air,Á áætlun,2021-07-24,2021-08-21,Búdapest,W62428,16:25,Departure
1424,Icelandair,Á áætlun,2021-07-24,2021-08-21,Kaupmannahöfn,FI216,16:25,Departure
1425,Edelweiss,Á áætlun,2021-07-24,2021-08-21,Zurich,WK301,16:30,Departure
1426,Icelandair,Á áætlun,2021-07-24,2021-08-21,Minneapolis St Paul,FI657,16:45,Departure
1427,Icelandair,Á áætlun,2021-07-24,2021-08-21,Chicago,FI853,16:45,Departure
1428,Icelandair,Á áætlun,2021-07-24,2021-08-21,Portland,FI665,16:50,Departure
1429,Icelandair,Á áætlun,2021-07-24,2021-08-21,Washington Dulles,FI645,16:50,Departure
1430,Icelandair,Á áætlun,2021-07-24,2021-08-21,Denver,FI671,16:55,Departure
1431,Air Greenland,Á áætlun,2021-07-24,2021-08-21,Nuuk,GL711,16:55,Departure
1432,Icelandair,Á áætlun,2021-07-24,2021-08-21,New York JFK,FI615,17:00,Departure
1433,Icelandair,Á áætlun,2021-07-24,2021-08-21,New York Newark,FI623,17:00,Departure
1434,Icelandair,Á áætlun,2021-07-24,2021-08-21,Toronto,FI603,17:05,Departure
1435,Icelandair,Á áætlun,2021-07-24,2021-08-21,Seattle,FI681,17:05,Departure
1436,Vueling,Á áætlun,2021-07-24,2021-08-21,Barcelona,VY8561,17:10,Departure
1437,Icelandair,Á áætlun,2021-07-24,2021-08-21,Boston,FI631,17:15,Departure
1438,Icelandair,Á áætlun,2021-07-24,2021-08-21,Seattle,FI683,17:50,Departure
1439,Wizz Air,Á áætlun,2021-07-24,2021-08-21,Vín,W62858,17:50,Departure
1440,Wizz Air,Á áætlun,2021-07-24,2021-08-21,Wroclaw,W61898,18:50,Departure
1441,Wizz Air,Á áætlun,2021-07-24,2021-08-21,Mílanó,W65566,19:20,Departure
1442,Transavia,Á áætlun,2021-07-24,2021-08-21,Amsterdam,HV6888,19:50,Departure
1443,Wizz Air,Á áætlun,2021-07-24,2021-08-21,Gdansk,W61774,20:50,Departure
1444,Wizz Air,Á áætlun,2021-07-24,2021-08-21,London Luton,W94498,21:55,Departure
1445,Wizz Air,Á áætlun,2021-07-24,2021-08-22,Varsjá,W61540,00:10,Departure
1446,Lufthansa,Á áætlun,2021-07-24,2021-08-22,Munchen,LH2469,01:05,Departure
1447,Czech Airlines,Á áætlun,2021-07-24,2021-08-22,Prag,OK461,01:30,Departure
1448,Iberia Express,Á áætlun,2021-07-24,2021-08-22,Madríd,I23661,01:35,Departure
1449,Play,Á áætlun,2021-07-24,2021-08-22,París CDG,OG400,06:00,Departure
1450,Play,Á áætlun,2021-07-24,2021-08-22,London Stansted,OG800,06:30,Departure
1451,Icelandair,Á áætlun,2021-07-24,2021-08-22,Zurich,FI568,07:20,Departure
1452,Icelandair,Á áætlun,2021-07-24,2021-08-22,Munchen,FI532,07:20,Departure
1453,Icelandair,Á áætlun,2021-07-24,2021-08-22,Frankfurt,FI520,07:25,Departure
1454,Icelandair,Á áætlun,2021-07-24,2021-08-22,Stokkhólmur,FI306,07:35,Departure
1455,Icelandair,Á áætlun,2021-07-24,2021-08-22,London Heathrow,FI450,07:40,Departure
1456,Icelandair,Á áætlun,2021-07-24,2021-08-22,Amsterdam,FI500,07:40,Departure
1457,Icelandair,Á áætlun,2021-07-24,2021-08-22,Brussel,FI554,07:40,Departure
1458,Icelandair,Á áætlun,2021-07-24,2021-08-22,Berlin Brandenburg,FI528,07:40,Departure
1459,Icelandair,Á áætlun,2021-07-24,2021-08-22,París CDG,FI542,07:40,Departure
1460,Icelandair,Á áætlun,2021-07-24,2021-08-22,Kaupmannahöfn,FI204,07:45,Departure
1461,Icelandair,Á áætlun,2021-07-24,2021-08-22,Hamborg,FI510,07:50,Departure
1462,Icelandair,Á áætlun,2021-07-24,2021-08-22,Osló,FI318,07:50,Departure
1463,Icelandair,Á áætlun,2021-07-24,2021-08-22,Kaupmannahöfn,FI206,08:00,Departure
1464,Icelandair,Á áætlun,2021-07-24,2021-08-22,Malaga,FI1520,08:50,Departure
1465,EasyJet,Á áætlun,2021-07-24,2021-08-22,Manchester,EZY1806,09:15,Departure
1466,Eurowings,Á áætlun,2021-07-24,2021-08-22,Hamborg,EW7809,09:20,Departure
1467,Delta,Á áætlun,2021-07-24,2021-08-22,Minneapolis St Paul,DL261,09:30,Departure
1468,EasyJet,Á áætlun,2021-07-24,2021-08-22,London Luton,EZY2296,09:35,Departure
1469,Norwegian,Á áætlun,2021-07-24,2021-08-22,Osló,DY1171,10:00,Departure
1470,Delta,Á áætlun,2021-07-24,2021-08-22,Boston,DL267,10:05,Departure
1471,United Airlines,Á áætlun,2021-07-24,2021-08-22,Chicago,UA913,10:30,Departure
1472,Delta,Á áætlun,2021-07-24,2021-08-22,New York JFK,DL247,11:15,Departure
1473,United Airlines,Á áætlun,2021-07-24,2021-08-22,New York Newark,UA967,11:20,Departure
1474,Air Baltic,Á áætlun,2021-07-24,2021-08-22,Riga,BT170,15:10,Departure
1475,Play,Á áætlun,2021-07-24,2021-08-22,Berlin Brandenburg,OG704,15:15,Departure
1476,Play,Á áætlun,2021-07-24,2021-08-22,Kaupmannahöfn,OG904,15:15,Departure
1477,EasyJet,Á áætlun,2021-07-24,2021-08-22,Edinborg,EZY6942,15:25,Departure
1478,Icelandair,Á áætlun,2021-07-24,2021-08-22,Frankfurt,FI524,15:55,Departure
1479,Icelandair,Á áætlun,2021-07-24,2021-08-22,París CDG,FI540,16:00,Departure
1480,Icelandair,Á áætlun,2021-07-24,2021-08-22,Amsterdam,FI504,16:00,Departure
1481,Icelandair,Á áætlun,2021-07-24,2021-08-22,Kaupmannahöfn,FI216,16:10,Departure
1482,Icelandair,Á áætlun,2021-07-24,2021-08-22,London Heathrow,FI454,16:10,Departure
1483,SAS,Á áætlun,2021-07-24,2021-08-22,Osló,SK4788,16:15,Departure
1484,Icelandair,Á áætlun,2021-07-24,2021-08-22,Minneapolis St Paul,FI657,16:45,Departure
1485,Icelandair,Á áætlun,2021-07-24,2021-08-22,Chicago,FI853,16:45,Departure
1486,Icelandair,Á áætlun,2021-07-24,2021-08-22,Washington Dulles,FI645,16:50,Departure
1487,Icelandair,Á áætlun,2021-07-24,2021-08-22,Denver,FI671,16:55,Departure
1488,Icelandair,Á áætlun,2021-07-24,2021-08-22,New York JFK,FI615,17:00,Departure
1489,Icelandair,Á áætlun,2021-07-24,2021-08-22,New York Newark,FI623,17:00,Departure
1490,Icelandair,Á áætlun,2021-07-24,2021-08-22,Toronto,FI603,17:05,Departure
1491,Icelandair,Á áætlun,2021-07-24,2021-08-22,Seattle,FI681,17:05,Departure
1492,Icelandair,Á áætlun,2021-07-24,2021-08-22,Boston,FI631,17:15,Departure
1493,Wizz Air,Á áætlun,2021-07-24,2021-08-22,Kraká,W65054,17:15,Departure
1494,Wizz Air,Á áætlun,2021-07-24,2021-08-22,Riga,W62598,20:50,Departure
1495,Wizz Air,Á áætlun,2021-07-24,2021-08-23,Varsjá,W61540,00:05,Departure
1496,Lufthansa,Á áætlun,2021-07-24,2021-08-23,Frankfurt,LH869,00:25,Departure
1497,Eurowings,Á áætlun,2021-07-24,2021-08-23,Dusseldorf,EW9281,00:30,Departure
1498,Austrian,Á áætlun,2021-07-24,2021-08-23,Vín,OS9762,01:00,Departure
1499,Czech Airlines,Á áætlun,2021-07-24,2021-08-23,Prag,OK461,02:00,Departure
1500,Play,Á áætlun,2021-07-24,2021-08-23,París CDG,OG400,06:00,Departure
1501,Play,Á áætlun,2021-07-24,2021-08-23,London Stansted,OG800,06:30,Departure
1502,Icelandair,Á áætlun,2021-07-24,2021-08-23,Zurich,FI568,07:20,Departure
1503,Icelandair,Á áætlun,2021-07-24,2021-08-23,Munchen,FI532,07:20,Departure
1504,Icelandair,Á áætlun,2021-07-24,2021-08-23,Genf,FI564,07:20,Departure
1505,Icelandair,Á áætlun,2021-07-24,2021-08-23,Frankfurt,FI520,07:25,Departure
1506,Icelandair,Á áætlun,2021-07-24,2021-08-23,Stokkhólmur,FI306,07:35,Departure
1507,Icelandair,Á áætlun,2021-07-24,2021-08-23,París CDG,FI542,07:40,Departure
1508,Icelandair,Á áætlun,2021-07-24,2021-08-23,London Heathrow,FI450,07:40,Departure
1509,Icelandair,Á áætlun,2021-07-24,2021-08-23,Amsterdam,FI500,07:40,Departure
1510,Icelandair,Á áætlun,2021-07-24,2021-08-23,Berlin Brandenburg,FI528,07:40,Departure
1511,Icelandair,Á áætlun,2021-07-24,2021-08-23,Brussel,FI554,07:40,Departure
1512,Icelandair,Á áætlun,2021-07-24,2021-08-23,Kaupmannahöfn,FI204,07:45,Departure
1513,Icelandair,Á áætlun,2021-07-24,2021-08-23,Osló,FI318,07:50,Departure
1514,Icelandair,Á áætlun,2021-07-24,2021-08-23,Amsterdam,FI506,07:50,Departure
1515,Icelandair,Á áætlun,2021-07-24,2021-08-23,Manchester,FI440,08:00,Departure
1516,Icelandair,Á áætlun,2021-07-24,2021-08-23,Kaupmannahöfn,FI206,08:00,Departure
1517,Transavia,Á áætlun,2021-07-24,2021-08-23,Amsterdam,HV6886,08:45,Departure
1518,EasyJet,Á áætlun,2021-07-24,2021-08-23,London Luton,EZY2296,08:45,Departure
1519,Icelandair,Á áætlun,2021-07-24,2021-08-23,Boston,FI635,09:20,Departure
1520,Delta,Á áætlun,2021-07-24,2021-08-23,Minneapolis St Paul,DL261,09:30,Departure
1521,Delta,Á áætlun,2021-07-24,2021-08-23,Boston,DL267,10:05,Departure
1522,Atlantic Airways,Á áætlun,2021-07-24,2021-08-23,Vagar,RC402,10:20,Departure
1523,United Airlines,Á áætlun,2021-07-24,2021-08-23,Chicago,UA913,10:30,Departure
1524,SAS,Á áætlun,2021-07-24,2021-08-23,Kaupmannahöfn,SK596,10:30,Departure
1525,Delta,Á áætlun,2021-07-24,2021-08-23,New York JFK,DL247,11:15,Departure
1526,SAS,Á áætlun,2021-07-24,2021-08-23,Osló,SK4788,11:15,Departure
1527,United Airlines,Á áætlun,2021-07-24,2021-08-23,New York Newark,UA967,11:20,Departure
1528,Icelandair,Á áætlun,2021-07-24,2021-08-23,Mílanó,FI592,14:00,Departure
1529,Air Baltic,Á áætlun,2021-07-24,2021-08-23,Riga,BT170,15:10,Departure
1530,Play,Á áætlun,2021-07-24,2021-08-23,Kaupmannahöfn,OG904,15:15,Departure
1531,Play,Á áætlun,2021-07-24,2021-08-23,Barcelona,OG614,15:15,Departure
1532,Play,Á áætlun,2021-07-24,2021-08-23,Berlin Brandenburg,OG704,15:15,Departure
1533,Icelandair,Á áætlun,2021-07-24,2021-08-23,París CDG,FI540,16:00,Departure
1534,Icelandair,Á áætlun,2021-07-24,2021-08-23,London Heathrow,FI454,16:10,Departure
1535,Icelandair,Á áætlun,2021-07-24,2021-08-23,Kaupmannahöfn,FI216,16:10,Departure
1536,Icelandair,Á áætlun,2021-07-24,2021-08-23,Billund,FI274,16:40,Departure
1537,Icelandair,Á áætlun,2021-07-24,2021-08-23,Chicago,FI853,16:45,Departure
1538,Icelandair,Á áætlun,2021-07-24,2021-08-23,Washington Dulles,FI645,16:50,Departure
1539,Icelandair,Á áætlun,2021-07-24,2021-08-23,Portland,FI665,16:50,Departure
1540,Icelandair,Á áætlun,2021-07-24,2021-08-23,Denver,FI671,16:55,Departure
1541,Icelandair,Á áætlun,2021-07-24,2021-08-23,New York JFK,FI615,17:00,Departure
1542,Icelandair,Á áætlun,2021-07-24,2021-08-23,New York Newark,FI623,17:00,Departure
1543,Icelandair,Á áætlun,2021-07-24,2021-08-23,Seattle,FI681,17:05,Departure
1544,Vueling,Á áætlun,2021-07-24,2021-08-23,Barcelona,VY8561,17:10,Departure
1545,Icelandair,Á áætlun,2021-07-24,2021-08-23,Orlando,FI689,17:15,Departure
1546,Icelandair,Á áætlun,2021-07-24,2021-08-23,Boston,FI631,17:15,Departure
1547,Wizz Air,Á áætlun,2021-07-24,2021-08-23,Wroclaw,W61898,18:50,Departure
1548,Wizz Air,Á áætlun,2021-07-24,2021-08-23,Rome Fiumicino,W68266,19:20,Departure
1549,Wizz Air,Á áætlun,2021-07-24,2021-08-23,Katowice,W61168,20:45,Departure
1550,Lufthansa,Á áætlun,2021-07-24,2021-08-24,Frankfurt,LH869,00:25,Departure
1551,Czech Airlines,Á áætlun,2021-07-24,2021-08-24,Prag,OK461,01:30,Departure
1552,Icelandair,Á áætlun,2021-07-24,2021-08-24,Munchen,FI532,07:20,Departure
1553,Icelandair,Á áætlun,2021-07-24,2021-08-24,Zurich,FI568,07:20,Departure
1554,Icelandair,Á áætlun,2021-07-24,2021-08-24,Frankfurt,FI520,07:25,Departure
1555,Icelandair,Á áætlun,2021-07-24,2021-08-24,Helsinki,FI342,07:30,Departure
1556,Icelandair,Á áætlun,2021-07-24,2021-08-24,Stokkhólmur,FI306,07:35,Departure
1557,Icelandair,Á áætlun,2021-07-24,2021-08-24,London Heathrow,FI450,07:40,Departure
1558,Icelandair,Á áætlun,2021-07-24,2021-08-24,París CDG,FI542,07:40,Departure
1559,Icelandair,Á áætlun,2021-07-24,2021-08-24,Amsterdam,FI500,07:40,Departure
